frame,timestamp_ms,divergence,lr_balance,tau,vx_mean,vy_mean,flow_cnt,div_cnt,valid,ema_div,ema_lr,tau_ms,looming,evasion_level,turn_cmd,az_quiet,ax,ay,az,gx,gy,gz,roll,pitch,yaw
89,3361,0,0,0,0,0,0,0,0,0.04212,0.14976,991.069,0,0,-0.4493,0,-0.1064,-0.3804,-0.5396,67.078,-35.522,22.278,-154.962,3.961,80.491
90,3389,0,0,0,0,0,0,0,0,0.04212,0.14976,991.069,0,0,-0.4493,0,-0.0439,-0.3706,-0.9673,49.866,-6.531,-16.907,-153.929,3.966,80.942
91,3417,0,0,0,0,0,0,0,0,0.04212,0.14976,991.069,0,0,-0.4493,1,0.1025,-0.1812,-0.667,-18.677,-37.354,0,-154.122,5.213,81.453
92,3445,0,0,0,0,0,0,0,0,0.04212,0.14976,991.069,0,0,-0.4493,0,-0.0889,-0.3003,-0.7163,-105.957,54.749,-9.216,-155.836,4.532,81.31
93,3473,0,0,0,0,0,0,0,0,0.04212,0.14976,991.069,0,0,-0.4493,0,-0.2998,-0.6069,-0.6353,-91.797,132.446,20.996,-158.242,1.978,79.821
94,3501,0,0,0,0,0,0,0,0,0.04212,0.14976,991.069,0,0,-0.4493,0,-0.0381,-0.4395,-0.8594,16.541,37.476,5.676,-157.709,0.659,79.124
95,3585,0,0,0,0,0,0,0,0,0.04212,0.14976,991.069,0,0,-0.4493,1,-0.0381,-0.4395,-0.8594,16.541,37.476,5.676,-157.709,0.659,79.124
96,3754,0,0,0,0,0,0,0,0,0.04212,0.14976,991.069,0,0,-0.4493,1,-0.0337,-0.373,-1.1074,-40.588,3.296,4.7,-158.357,-0.093,78.695
97,3792,0,0,0,0,0,0,0,0,0.04212,0.14976,991.069,0,0,-0.4493,1,0.0781,-0.2935,-1.1357,68.481,-52.734,-1.282,-157.791,0.406,78.827
98,3810,-0.00877,-0.01042,1000000,0.037,-4.1111,27,19,1,0.03225,0.10171,0,0,0,-0.3051,1,-0.0254,-0.5259,-0.9912,114.746,-141.785,3.845,-155.374,2.851,79.854
99,3838,0.01042,-0.20556,95.99999,0.4348,0.5217,23,16,1,0.0311,0.00953,0,0,0,-0.0286,1,-0.0513,-0.4229,-0.7012,44.922,-3.113,-2.808,-153.913,3.505,80.217
100,3867,0.01042,-0.20556,95.99999,0.4348,0.5217,23,16,1,0.0311,0.00953,0,0,0,-0.0286,0,-0.0513,-0.4229,-0.7012,44.922,-3.113,-2.808,-153.913,3.505,80.217
101,3900,0.01042,-0.20556,95.99999,0.4348,0.5217,23,16,1,0.0311,0.00953,0,0,0,-0.0286,0,0.0166,-0.4131,-0.9297,22.156,-8.24,-38.33,-153.287,3.279,80.75
102,3929,0,0,0,0,0,0,0,0,0.0311,0.00953,0,0,0,-0.0286,1,0.0166,-0.4131,-0.9297,22.156,-8.24,-38.33,-153.287,3.279,80.75
103,3953,-0.02083,-0.01111,1000000,-1.6667,-0.0417,24,16,1,0.02092,0.00334,0,0,0,-0.01,1,-0.1533,-0.3999,-0.6519,-126.16,110.901,-19.165,-156.094,1.45,81.398
104,3979,-0.02083,-0.01111,1000000,-1.6667,-0.0417,24,16,1,0.02092,0.00334,0,0,0,-0.01,0,-0.2393,-0.4907,-0.8721,-41.443,132.263,9.827,-157.302,-0.868,80.343
105,4006,-0.10606,-0.11667,1000000,3.4444,-2.5,18,11,1,-0.01177,-0.03266,16.925,0,0,0.098,1,-0.2393,-0.4907,-0.8721,-41.443,132.263,9.827,-157.302,-0.868,80.343
106,4034,0.04167,0,24,1.1667,-1,18,10,1,0.00966,-0.02286,9.013,0,0,0.0686,1,-4.2544,-0.3979,-1.0054,-33.386,9.583,9.033,-158.357,-1.901,79.096
107,4071,-0.02564,-0.03333,1000000,1.4,-1.4,20,13,1,0.00447,-0.02601,0,0,0,0.078,1,-0.0615,-0.5303,-0.6235,116.882,-157.227,35.583,-156.528,-0.297,80.123
108,4091,-0.02564,-0.03333,1000000,1.4,-1.4,20,13,1,0.00447,-0.02601,0,0,0,0.078,0,0.0029,-0.4146,-0.9932,55.359,-30.701,-16.418,-152.567,2.939,81.519
109,4124,0,0,0,0,0,0,0,0,0.00447,-0.02601,0,0,0,0.078,1,0.0029,-0.4146,-0.9932,55.359,-30.701,-16.418,-152.567,2.939,81.519
110,4146,-0.00595,-0.00926,1000000,-4.1429,1.3333,21,14,1,0.00674,-0.02098,237.225,0,0,0.0629,1,-9.0029,-0.6489,-0.5356,-182.251,152.405,10.681,-154.402,2.966,82.76
111,4173,-0.00595,-0.00926,1000000,-4.1429,1.3333,21,14,1,0.00674,-0.02098,237.225,0,0,0.0629,0,-9.0029,-0.6489,-0.5356,-182.251,152.405,10.681,-154.402,2.966,82.76
112,4201,-0.00595,-0.00926,1000000,-4.1429,1.3333,21,14,1,0.00674,-0.02098,237.225,0,0,0.0629,0,-9.0029,-0.6489,-0.5356,-182.251,152.405,10.681,-154.402,2.966,82.76
113,4229,-0.00595,-0.00926,1000000,-4.1429,1.3333,21,14,1,0.00674,-0.02098,237.225,0,0,0.0629,0,-0.0679,-0.2974,-0.978,8.911,55.664,-1.038,-157.549,-2.494,79.882
114,4257,0.11111,0.08333,9,-0.7059,-1.8235,17,12,1,0.04345,0.01031,94.693,0,0,-0.0309,1,0.0752,-0.3721,-1.1191,-18.433,-8.179,-5.066,-160.098,-3.812,79.777
115,4824,0,0,0,0,0,0,0,0,0.04345,0.01031,94.693,0,0,-0.0309,1,0.0752,-0.3721,-1.1191,-18.433,-8.179,-5.066,-160.098,-3.812,79.777
116,4846,-0.06944,-0.07576,1000000,4.5556,-2.3889,18,12,1,0.01498,-0.01551,0,0,0,0.0465,1,-0.0278,-0.3442,-0.5776,101.624,-126.526,15.076,-156.698,-0.363,81.09
117,4874,-0.06944,-0.07576,1000000,4.5556,-2.3889,18,12,1,0.01498,-0.01551,0,0,0,0.0465,0,-0.0278,-0.3442,-0.5776,101.624,-126.526,15.076,-156.698,-0.363,81.09
118,4902,-0.06944,-0.07576,1000000,4.5556,-2.3889,18,12,1,0.01498,-0.01551,0,0,0,0.0465,0,0.0625,-0.4575,-0.9355,28.076,-16.174,-21.179,-154.808,1.28,82.386
119,4936,0,0,0,0,0,0,0,0,0.01498,-0.01551,0,0,0,0.0465,1,0.1587,-0.4307,-1.0474,31.006,-45.959,0.916,-153.913,2.021,83.046
120,4956,0.02778,-0.04861,36,-0.7083,4.0833,24,21,1,0.02422,-0.02544,209.754,0,0,0.0763,1,0.1587,-0.4307,-1.0474,31.006,-45.959,0.916,-153.913,2.021,83.046
